gouvernoratSlug,specialtySlug,doctors
ariana,anatomie-pathologique,6
ariana,anesthesie-reanimation,20
ariana,autre,16
ariana,biologie-medicale,25
ariana,carcinologie-medicale,8
ariana,cardiologie,40
ariana,chirurgie-carcinologique,5
ariana,chirurgie-cardiovasculaire,9
ariana,chirurgie-generale,20
ariana,chirurgie-orthopedique,32
ariana,chirurgie-pediatrique,5
ariana,chirurgie-plastique,11
ariana,chirurgie-thoracique,2
ariana,chirurgie-vasculaire,2
ariana,dermatologie,44
ariana,endocrinologie,16
ariana,gastro-enterologie,24
ariana,gynecologie-obstetrique,90
ariana,hematologie,3
ariana,imagerie-medicale,40
ariana,maladies-infectieuses,4
ariana,medecine-famille,11
ariana,medecine-generale,268
ariana,medecine-interne,14
ariana,medecine-physique,6
ariana,nephrologie,6
ariana,neurochirurgie,9
ariana,neurologie,27
ariana,nutrition,7
ariana,ophtalmologie,46
ariana,orl,33
ariana,pediatrie,49
ariana,pedopsychiatrie,6
ariana,physiologie,2
ariana,pneumologie,28
ariana,psychiatrie,36
ariana,radiotherapie,3
ariana,reanimation-medicale,4
ariana,rhumatologie,12
ariana,stomatologie,7
ariana,urologie,20
beja,anatomie-pathologique,1
beja,anesthesie-reanimation,3
beja,biologie-medicale,2
beja,cardiologie,8
beja,chirurgie-cardiovasculaire,1
beja,chirurgie-generale,3
beja,chirurgie-orthopedique,4
beja,chirurgie-pediatrique,1
beja,dermatologie,2
beja,endocrinologie,2
beja,gastro-enterologie,3
beja,gynecologie-obstetrique,11
beja,imagerie-medicale,8
beja,medecine-famille,1
beja,medecine-generale,46
beja,medecine-interne,1
beja,nephrologie,2
beja,neurologie,1
beja,nutrition,2
beja,ophtalmologie,8
beja,orl,4
beja,pediatrie,5
beja,pneumologie,3
beja,psychiatrie,1
beja,radiotherapie,1
beja,rhumatologie,3
beja,urologie,3
benarous,anatomie-pathologique,2
benarous,anesthesie-reanimation,13
benarous,autre,12
benarous,biologie-medicale,10
benarous,carcinologie-medicale,3
benarous,cardiologie,26
benarous,chirurgie-carcinologique,1
benarous,chirurgie-generale,9
benarous,chirurgie-orthopedique,13
benarous,chirurgie-pediatrique,2
benarous,chirurgie-plastique,1
benarous,chirurgie-thoracique,1
benarous,dermatologie,18
benarous,endocrinologie,9
benarous,gastro-enterologie,17
benarous,gynecologie-obstetrique,35
benarous,hematologie,1
benarous,imagerie-medicale,26
benarous,medecine-famille,12
benarous,medecine-generale,162
benarous,medecine-interne,2
benarous,medecine-physique,1
benarous,medecine-preventive,1
benarous,medecine-travail,1
benarous,medecine-urgence,1
benarous,nephrologie,3
benarous,neurochirurgie,1
benarous,neurologie,9
benarous,nutrition,6
benarous,ophtalmologie,30
benarous,orl,20
benarous,pediatrie,28
