specialtySlug,doctors,demand_impr,demand_per_doctor,supply_share,demand_share
dermatologie,279,1025.0,3.67,0.0343,0.2064
neurologie,143,247.0,1.73,0.0176,0.0497
cardiologie,380,625.0,1.64,0.0468,0.1258
rhumatologie,121,168.0,1.39,0.0149,0.0338
ophtalmologie,491,683.0,1.39,0.0604,0.1375
psychiatrie,225,223.0,0.99,0.0277,0.0449
orl,299,233.0,0.78,0.0368,0.0469
pneumologie,208,155.0,0.75,0.0256,0.0312
endocrinologie,154,104.0,0.68,0.019,0.0209
urologie,186,110.0,0.59,0.0229,0.0221
gastro-enterologie,236,133.0,0.56,0.029,0.0268
gynecologie-obstetrique,788,421.0,0.53,0.097,0.0848
imagerie-medicale,420,194.0,0.46,0.0517,0.0391
chirurgie-orthopedique,330,151.0,0.46,0.0406,0.0304
nephrologie,74,21.0,0.28,0.0091,0.0042
pediatrie,494,118.0,0.24,0.0608,0.0238
medecine-generale,3298,356.0,0.11,0.4059,0.0717
